Magnetic Field,Angle,Magnetic Field,Angle
milliTesla,Degrees,milliTesla,Degrees
1329.58393715845,0,NaN,0
1330.22016122921,2,NaN,2
1332.13117619599,4,NaN,4
1335.32402123657,6,NaN,6
1339.81046446644,8,NaN,8
1345.60705634687,10,NaN,10
1352.73520273035,12,NaN,12
1361.22125561656,14,NaN,14
1371.09661883803,16,10888.9158782074,16
1382.39786478799,18,10287.6263192458,18
1395.1668568529,20,9599.98257419261,20
1409.4508703115,22,8833.61427528448,22
1425.30270197171,24,8032.69334291145,24
1442.78075556524,26,7292.93742179918,26
1461.94908432997,28,6692.70594521638,28
1482.87737763526,30,6231.72862180763,30
1505.64083396324,32,5874.13277785748,32
1530.31992907944,34,5588.06520373632,34
1556.99997331712,36,5352.17565467663,36
1585.77043006511,38,5152.77603304704,38
1616.72390302777,40,4980.93501215158,40
1649.95468819443,42,4830.62880871995,42
1685.55676045806,44,4697.65212735103,44
1723.6210347796,46,4578.974454425,46
1764.2317084085,48,4472.34966556739,48
1807.46145598361,50,4376.07158478179,50
1853.36516969115,52,4288.81632050636,52
1901.97194748668,54,4209.537545285,54
1953.27528469112,56,4137.39489116542,56
2007.22096015097,58,4071.70415517332,58
2063.69247841347,60,4011.901709227,60
2122.49430397783,62,3957.51845819726,62
2183.33329896032,64,3908.16099357703,64
2245.79891213183,66,3863.49718223092,66
2309.34411433819,68,3823.24524986318,68
2373.26916305449,70,3787.16540912199,70
2436.71112979274,72,3755.05336832357,72
2498.64352495671,74,3726.73525066461,74
2557.88931474076,76,3702.06360848961,76
2613.15112888399,78,3680.91426456449,78
2663.06044713961,80,3663.18380997623,80
2706.24479654666,82,3648.78763554304,82
2741.40849506437,84,3637.6583978352,84
2767.42154258718,86,3629.744846987,86
2783.40360711325,88,3625.01096330774,88
2788.79498280028,90,3623.43536518235,90
2783.40360711326,92,3625.01096330773,92
2767.42154258718,94,3629.744846987,94
2741.40849506438,96,3637.65839783519,96
2706.24479654666,98,3648.78763554304,98
2663.0604471396,100,3663.18380997624,100
2613.15112888399,102,3680.91426456449,102
2557.88931474076,104,3702.06360848961,104
2498.64352495672,106,3726.73525066461,106
2436.71112979274,108,3755.05336832359,108
2373.26916305449,110,3787.16540912198,110
2309.34411433819,112,3823.24524986318,112
2245.79891213184,114,3863.49718223092,114
2183.33329896032,116,3908.16099357703,116
2122.49430397782,118,3957.51845819726,118
2063.69247841347,120,4011.90170922699,120
2007.22096015097,122,4071.70415517332,122
1953.27528469112,124,4137.39489116541,124
1901.97194748668,126,4209.537545285,126
1853.36516969115,128,4288.81632050636,128
1807.46145598361,130,4376.07158478179,130
1764.2317084085,132,4472.34966556739,132
1723.6210347796,134,4578.974454425,134
1685.55676045806,136,4697.65212735103,136
1649.95468819443,138,4830.62880871995,138
1616.72390302777,140,4980.93501215158,140
1585.77043006511,142,5152.77603304704,142
1556.99997331712,144,5352.17565467663,144
1530.31992907944,146,5588.06520373631,146
1505.64083396323,148,5874.13277785747,148
1482.87737763526,150,6231.72862180761,150
1461.94908432997,152,6692.70594521637,152
1442.78075556524,154,7292.93742179917,154
1425.30270197171,156,8032.69334291145,156
1409.4508703115,158,8833.61427528446,158
1395.1668568529,160,9599.98257419258,160
1382.39786478799,162,10287.6263192458,162
1371.09661883803,164,10888.9158782074,164
1361.22125561656,166,NaN,166
1352.73520273035,168,NaN,168
1345.60705634687,170,NaN,170
1339.81046446644,172,NaN,172
1335.32402123657,174,NaN,174
1332.13117619599,176,NaN,176
1330.22016122921,178,NaN,178
1329.58393715845,180,NaN,180
