Magnetic Field,Angle,Magnetic Field,Angle,Magnetic Field,Angle,Magnetic Field,Angle,Magnetic Field,Angle,Magnetic Field,Angle,Magnetic Field,Angle
Gauss,Degrees,Gauss,Degrees,Gauss,Degrees,Gauss,Degrees,Gauss,Degrees,Gauss,Degrees,Gauss,Degrees
718.830388044823,0,1863.15306963002,0,7125.63898881768,0,10514.0539644413,0,NaN,0,1329.58393715845,0,NaN,0
719.796796358817,2.99999999999999,1862.43707677049,2.99999999999999,7183.10290427808,2.99999999999999,10444.8426245387,2.99999999999999,NaN,2.99999999999999,1330.22016122921,2,NaN,2
722.708825381538,6,1860.30687204787,6,7373.51530088227,6,10218.5681038016,6,NaN,6,1332.13117619599,4,NaN,4
727.60529487323,9.00000000000001,1856.81470428046,9.00000000000001,7790.94874985851,9.00000000000001,9739.31498525528,9.00000000000001,NaN,9.00000000000001,1335.32402123657,6,NaN,6
734.552286535953,12,1852.04421424376,12,NaN,12,NaN,12,NaN,12,1339.81046446644,8,NaN,8
743.645302308904,15,1846.10571819813,15,NaN,15,NaN,15,NaN,15,1345.60705634687,10,NaN,10
755.012464339823,18,1839.13039874802,18,NaN,18,NaN,18,10884.0769964879,18,1352.73520273035,12,NaN,12
768.818954903515,21,1831.26399306486,21,NaN,21,NaN,21,9330.42357493076,21,1361.22125561656,14,NaN,14
785.272982591899,24,1822.66062710716,24,NaN,24,NaN,24,8142.22296839738,24,1371.09661883803,16,10888.9158782074,16
804.63367843286,27,1813.47701415281,27,NaN,27,NaN,27,7234.41860099241,27,1382.39786478799,18,10287.6263192458,18
827.221486295618,30,1803.86768455963,30,NaN,30,NaN,30,6531.06317437464,30,1395.1668568529,20,9599.98257419261,20
853.431838289011,33,1793.98109640588,33,NaN,33,NaN,33,5974.3896934599,33,1409.4508703115,22,8833.61427528448,22
883.753231836418,36,1783.95678642633,36,NaN,36,NaN,36,5524.51817972891,36,1425.30270197171,24,8032.69334291145,24
918.791254270214,39,1773.92347674663,39,NaN,39,NaN,39,5154.46058169186,39,1442.78075556524,26,7292.93742179918,26
959.300801060309,42,1763.99800964219,42,NaN,42,NaN,42,4845.70088376902,42,1461.94908432997,28,6692.70594521638,28
1006.2297093209,45,1754.28495687116,45,NaN,45,NaN,45,4585.21851903855,45,1482.87737763526,30,6231.72862180763,30
1060.77848985829,48,1744.87674730143,48,NaN,48,NaN,48,4363.61473445298,48,1505.64083396324,32,5874.13277785748,32
1124.48290063625,51,1735.85416846298,51,NaN,51,NaN,51,4173.93951782103,51,1530.31992907944,34,5588.06520373632,34
1199.32908258444,54,1727.28711774939,54,NaN,54,NaN,54,4010.94426153904,54,1556.99997331712,36,5352.17565467663,36
1287.91525600833,57,1719.23547273012,57,NaN,57,NaN,57,3870.5945905063,57,1585.77043006511,38,5152.77603304704,38
1393.67822323899,60,1711.75020996965,60,NaN,60,NaN,60,3749.74450336095,60,1616.72390302777,40,4980.93501215158,40
1521.2050068796,63,1704.87411407225,63,NaN,63,NaN,63,3645.91310713858,63,1649.95468819443,42,4830.62880871995,42
1676.63798556759,66,1698.64293438094,66,NaN,66,NaN,66,3557.12785560936,66,1685.55676045806,44,4697.65212735103,44
1868.11368237369,69,1693.08610842549,69,NaN,69,NaN,69,3481.81330465351,69,1723.6210347796,46,4578.974454425,46
